date,t,pr,rh,u,sin,sout,lin,lout,SR_50 m,zatm_hourly m,Ameas - ,p,zu,zt,rho,q,teq,albedo,ts,qs,zq
2012-09-05 07:00:00,275.13,0.0,0.5006,8.705,1126.2,238.675,228.46,316.8,2.988333333,2.0,0.211929497,590.7558198002691,2.0,0.88,0.4105841710028222,0.0037158745133188706,284.32059898710713,0.23101517870366664,273.15,0.006436214420643204,0.88
2012-09-05 08:00:00,275.48499999999996,0.0,0.5693,6.66,1144.15,233.025,236.645,318.545,2.998333333,2.0,0.203666477,590.7558198002691,2.0,0.88,0.4014061896353197,0.004334279352711828,286.19574853487626,0.23101517870366664,273.15,0.006436214420643204,0.88
2012-09-05 09:00:00,276.28999999999996,0.0,0.5896,5.17,1106.25,229.035,247.38,320.35,2.993333333,2.0,0.207037288,590.7558198002691,2.0,0.88,0.379951536351014,0.0047530424651537175,288.02191824943856,0.23101517870366664,273.15,0.006436214420643204,0.88
2012-09-05 10:00:00,276.825,0.0,0.52955,4.19,1019.3,225.125,261.725,320.725,3.008333333,2.0,0.220862357,590.7558198002691,2.0,0.88,0.36518516558652847,0.0044334211622757596,287.76497415212657,0.23101517870366664,273.15,0.006436214420643204,0.88
2012-09-05 11:00:00,277.53999999999996,0.0,0.5094,1.785,501.93,116.265,287.16,323.32,3.008333333,2.0,0.231635885,590.7558198002691,2.0,0.88,0.34479554921447614,0.004484576339226634,288.597782247263,0.23101517870366664,273.15,0.006436214420643204,0.88
2012-09-05 12:00:00,277.0,0.0,0.5473,1.99,267.145,71.5,279.765,320.69,3.023333333,2.0,0.267644912,590.7558198002691,2.0,0.88,0.3602647914752405,0.004638871049695552,288.4429817408929,0.23101517870366664,273.15,0.006436214420643204,0.88
2012-09-05 13:00:00,276.28,0.0,0.6354,3.085,154.675,55.115,269.98,318.43,3.018333333,2.0,0.356327784,590.7558198002691,2.0,0.88,0.3802236320348767,0.005118631615962981,288.91061377283813,0.23101517870366664,273.15,0.006436214420643204,0.88
2012-09-05 14:00:00,275.21,0.0,0.63255,3.23,0.25,0.25,243.145,313.32,3.018333333,2.0,1.0,590.7558198002691,2.0,0.88,0.40853075722174226,0.004722238906615484,286.8789922864887,0.23101517870366664,273.15,0.006436214420643204,0.88
2012-09-05 15:00:00,274.79499999999996,0.0,0.68325,3.61,0.0,0.0,224.49,309.58,3.018333333,2.0,1.0,590.7558198002691,2.0,0.88,0.41909001055774553,0.004951480254082957,287.0333408702259,0.2310665498679667,273.15,0.006436214420643204,0.88
2012-09-05 16:00:00,274.23999999999995,0.0,0.67215,4.63,0.0,0.0,223.345,308.26,3.013333333,2.0,1.0,590.7558198002691,2.0,0.88,0.4328573673862854,0.00468063084634694,285.8180808260098,0.2313296845934961,272.91475101149615,0.0063125560439002085,0.88
2012-09-05 17:00:00,274.57,0.0,0.5637,2.11,0.0,0.0,224.78,305.755,3.013333333,2.0,1.0,590.7558198002691,2.0,0.88,0.4247196689138358,0.004019688707559721,284.5152314258483,0.22999061739842996,272.358609519581,0.006028777834631613,0.88
2012-09-05 18:00:00,274.97499999999997,0.0,0.4838,2.925,0.0,0.0,219.955,304.625,3.013333333,2.0,1.0,590.7558198002691,2.0,0.88,0.4145382636135402,0.003551573607580278,283.76181789602424,0.22959472183775212,272.1066163496757,0.005904062466864816,0.88
2012-09-05 19:00:00,274.47499999999997,0.0,0.4916,4.19,0.0,0.0,217.445,303.475,3.013333333,2.0,1.0,590.7558198002691,2.0,0.88,0.4270767817329396,0.003481706644341659,283.09387868111094,0.22802458820099542,271.84944229665246,0.005779210497201527,0.88
